Pakistan,648.00,..,
Palau,89.00,141.00,58.43
Panama,621.00,1745.00,181.00
Papua New Guinea,59.00,182.00,208.47
Paracel Is. ,,,
Paraguay,309.00,649.00,110.03
Peru,1350.00,3215.00,138.15
Philippines,2291.00,4833.00,110.96
Pitcairn Is. ,,,
Poland,14290.00,16000.00,11.97
Portugal,5654.00,9092.00,60.81
Puerto Rico,3541.00,3246.00,-8.33
Quatar,..,2826.00,
Reunion,430.00,406.00,-5.58
Romania,6600.00,8442.00,27.91
Russia,22064.00,32421.00,46.94
Rwanda,..,1220.00,
Samoa,,,
San Marino,42.00,75.00,78.57
Sao Tome & Principe,11.00,..,
Saudi Arabia,8599.00,18259.00,112.34
Senegal,667.00,836.00,25.34
Seychelles,121.00,233.00,92.56
Sierra Leone,44.00,44.00,0.00
Singapore,6553.00,11864.00,81.05
Slovakia,1401.00,1475.00,5.28
Slovenia,1499.00,2411.00,60.84
Solomon Is. ,5.60,20.10,258.93
Somalia,,,
South Africa,6678.00,9549.00,42.99
South Georgia & the South Sandwich Is. ,,,
South Korea,5818.00,14202.00,144.10
Spain ,52430.00,64995.00,23.97
Spralty Is. ,,,
Sri Lanka,566.00,1527.00,169.79
St. Helena,,,
St Kitts & Nevis,118.00,113.00,-4.24
St. Lucia,298.00,338.00,13.42
St. Pierre & Miquelon,,,
St. Vincent & the Grenadines,87.00,71.00,-18.39
Sudan,61.00,684.00,1021.31
Suriname,138.00,252.00,82.61
Svalbard,,,
Swaziland,459.00,..,
Sweden,4676.00,5660.00,21.04
Switzerland,..,9158.00,
Syria,3399.00,..,
Taiwan,..,213.00,
Tajikistan,566.00,1113.00,96.64
Tanzania,11737.00,24810.00,111.38
Thailand,11737.00,24810.00,111.38
The Bahamas,1561.00,1427.00,-8.58
The Gambia,,,
Togo,83.00,282.00,239.76
Tokelau,,,
Tonga,41.00,50.00,21.95
Trinidad & Tobago,443.00,412.00,-7.00
Tunisia,5998.00,6069.00,1.18
Turkey,16826.00,39811.00,136.60
Turkmenistan,15.00,..,
Turks & Caicos Is. ,173.00,358.00,106.94
Tuvalu,1.30,1.40,7.69
Uganda,512.00,1266.00,147.27
Ukraine,15629.00,12712.00,-18.66
United Arab Emirates,6195.00,..,
United Kingdom,25678.00,32613.00,27.01
United States,46086.00,75011.00,62.76
Uruguay,1756.00,2682.00,52.73
Uzbekistan,262.00,..,
Vanuatu,61.00,109.00,78.69
Vatican City,,,
Venezuela,486.00,857.00,76.34
Vietnam,2928.00,7874.00,168.92
Virgin Is. ,,,
Wake I.,,,
Wallis & Fortuna,,,
West Bank,,,
Western Sahara,,,
Yemen,274.00,..,
Yugoslavia,,,
Zambia,515.00,947.00,83.88
Zimbabwe,1854.00,1905.00,2.75
